book_id,title,author,image-url,download-url,rating
141,The Hound of the Baskervilles,Sir Arthur Conan Doyle,https://libgen.li/fictioncovers/442000/6d7a856d26e2bb99eb8c557f7154f199.jpg,https://libgen.li/get.php?md5=6d7a856d26e2bb99eb8c557f7154f199&key=SLFSJZCW18OJQTWS,4
142,The Valley of Fear,Sir Arthur Conan Doyle,https://libgen.li/comicscovers/1164000/6b171c27f30ab9f21490ff2a57e976c5.jpg,https://libgen.li/get.php?md5=6b171c27f30ab9f21490ff2a57e976c5&key=4QOZ260RC6S8ENR2,4.6
143,The Adventures of Sherlock Holmes,Sir Arthur Conan Doyle,https://libgen.li/comicscovers/1028000/c9a8056b05a16f8333c4954105251f75.jpg,https://libgen.li/get.php?md5=c9a8056b05a16f8333c4954105251f75&key=JLSID0DKXTVKEUHB,4.2
144,The Memoirs of Sherlock Holmes,Sir Arthur Conan Doyle,https://libgen.li/fictioncovers/1895000/7186c0e84968e9f77cef89a8570af97d.jpg,https://libgen.li/get.php?md5=7186c0e84968e9f77cef89a8570af97d&key=IJPYIM1XRB4L2OKC,4.3
145,Leviathan Wakes,James S.A. Corey,https://libgen.li/fictioncovers/3474000/8340db53d6547680d3c4adc6f4f7f783.jpg,https://libgen.li/get.php?md5=8340db53d6547680d3c4adc6f4f7f783&key=YNUAFB0JHHFTGW82,4.8
146,Caliban’s War,James S.A. Corey,https://libgen.li/fictioncovers/3474000/12aa0c0c02614d4ec33d515f887919ee.jpg,https://libgen.li/get.php?md5=12aa0c0c02614d4ec33d515f887919ee&key=5I1HT3NRZIRLLMF0,3.3
147,Abaddon’s Gate,James S.A. Corey,https://libgen.li/fictioncovers/3474000/b6075e0c1becf6f4028bfbfc0471a487.jpg,https://libgen.li/get.php?md5=b6075e0c1becf6f4028bfbfc0471a487&key=JZJPSXZREX6KNVAQ,3.6
148,Cibola Burn,James S.A. Corey,https://libgen.li/fictioncovers/3476000/2e72278cf28a37a749e781f8739337f2.jpg,https://libgen.li/get.php?md5=2e72278cf28a37a749e781f8739337f2&key=XDNCUM3860U8RA1L,3.7
149,Nemesis Games,James S.A. Corey,https://libgen.li/magzcovers/531000/52f9679521f87c90590c32a71ae6b6f9.jpg,https://libgen.li/get.php?md5=52f9679521f87c90590c32a71ae6b6f9&key=CF37LPZTB7U85GDG,3.8
150,Babylon’s Ashes,James S.A. Corey,https://libgen.li/editioncovers/5344000/5344622.jpg,https://libgen.li/get.php?md5=4431b035188f0b0d186b46da1078f9ad&key=AC2SHTU1VAMLVIN5,3.7
151,Concepts of modern physics,Arthur Beiser,https://libgen.li/covers/5306000/4cd5e7b7af49191817760fbd21cc07ca.jpg,https://libgen.li/get.php?md5=4cd5e7b7af49191817760fbd21cc07ca&key=IKHS7360L7JRRITU,3.4
152,"Conductors, Semiconductors, Superconductors: An Introduction to Solid State Physics",Rudolf P. Huebener,https://libgen.li/covers/1292000/1232250c514c6f5f6c16987e983d9866.jpg,https://libgen.li/get.php?md5=1232250c514c6f5f6c16987e983d9866&key=PWY2HNSYR8QIGO2D,3.9
153,Quantum Mechanics: Theory and Applications,"Ajoy Ghatak, S. Lokanathan",https://libgen.li/editioncovers/136727000/136727130.jpg,https://libgen.li/get.php?md5=f2aa2506113d643292fb7a5301734601&key=OJBVO14JPN3KYPXW,3.8
154,Physics : for scientists and engineers with modern physics," Stephen Gasiorowicz, Stephen T Thornton",https://libgen.li/covers/908000/706b9408ea84f36e0d328076d1a021e4.jpg,https://libgen.li/get.php?md5=706b9408ea84f36e0d328076d1a021e4&key=FZN7H8UTLBKOI2E7,3.3
155,Plasma Physics and Fusion Energy,Jeffrey P. Freidberg,https://libgen.li/covers/15000/ec19aec48e188cdc21efbd973424544c.jpg,https://libgen.li/get.php?md5=ec19aec48e188cdc21efbd973424544c&key=RXKB66OS9L9D9I9H,4.2
156,The Feynman Lectures on Physics,"Richard P. Feynman, Robert B. Leighton, Matthew Sands",https://libgen.li/editioncovers/136835000/136835052.jpg,https://libgen.li/get.php?md5=31221aa9b81cb2193bb2dbb2631b6e26&key=EFNYI3G92VBJ6W3N,4.1
157,Advanced PHP for Web Professionals,Christopher Cosentino,https://libgen.li/editioncovers/136566000/136566714.jpg,https://libgen.li/get.php?md5=7d95eddab7866b923ee88c4b38386f67&key=J1ZVJMDC79LQDXX5,4.2
